name,school,conference,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,worth,team,age,position,games,games_started,targets,rec_nfl,catch%,rec_yds_nfl,ypr_nfl,rec_td_nfl,first_downs,longest_rec,yards_per_target,rec_per_game,yards_per_game,fumbles
D.K. Metcalf,Ole Miss,SEC,7,26,569,21.9,5,0,0,,0,1,SEA,22,WR,16,15,100,58,58.00%,900,15.5,7,39,54,9,3.6,56.3,3
Terry McLaurin,Ohio State,Big Ten,12,35,701,20,11,0,0,,0,1,WAS,24,WR,14,14,93,58,62.40%,919,15.8,7,43,75,9.9,4.1,65.6,0
Darius Slayton,Auburn,SEC,11,35,670,19.1,5,0,0,,0,1,NYG,22,WR,14,9,84,48,57.10%,740,15.4,8,32,55,8.8,3.4,52.9,0
Marquise Brown,Oklahoma,Big 12,12,75,1318,17.6,10,2,0,0,0,1,BAL,22,WR,14,11,71,46,64.80%,584,12.7,7,24,83,8.2,3.3,41.7,0
JJ Arcega-Whiteside,Stanford,Pac-12,12,63,1059,16.8,14,0,0,,0,0,PHI,23,wr,16,5,22,10,45.50%,169,16.9,1,7,30,7.7,0.6,10.6,0
Andy Isabella,Massachusetts,Ind,12,102,1698,16.6,13,11,79,7.2,1,0,ARI,23,wr,15,1,13,9,69.20%,189,21,1,4,88,14.5,0.6,12.6,0
Scott Miller,Bowling Green State,MAC,11,71,1148,16.2,9,4,16,4,0,0,TAM,22,wr,10,2,26,13,50.00%,200,15.4,1,5,48,7.7,1.3,20,0
Damion Willis,Troy,Sun Belt,11,56,876,15.6,10,0,0,,0,0,CIN,22,wr,10,2,16,9,56.30%,82,9.1,0,3,17,5.1,0.9,8.2,0
A.J. Brown,Ole Miss,SEC,12,85,1320,15.5,6,0,0,,0,1,TEN,22,WR,16,11,84,52,61.90%,1051,20.2,8,39,91,12.5,3.3,65.7,1
Diontae Johnson,Toledo,MAC,13,49,761,15.5,8,2,17,8.5,0,1,PIT,23,WR,16,12,92,59,64.10%,680,11.5,5,31,45,7.4,3.7,42.5,5
Mecole Hardman,Georgia,SEC,14,35,543,15.5,7,5,36,7.2,0,1,KAN,21,wr,16,5,41,26,63.40%,538,20.7,6,18,83,13.1,1.6,33.6,2
John Ursua,Hawaii,MWC,13,89,1343,15.1,16,2,4,2,1,0,SEA,25,wr,3,0,1,1,100.00%,11,11,0,1,11,11,0.3,3.7,0
N'Keal Harry,Arizona State,Pac-12,12,73,1088,14.9,9,7,10,1.4,1,0,NWE,22,wr,7,5,24,12,50.00%,105,8.8,2,7,18,4.4,1.7,15,0
Miles Boykin,Notre Dame,Ind,13,59,872,14.8,8,0,0,,0,0,BAL,23,WR,16,11,22,13,59.10%,198,15.2,3,10,50,9,0.8,12.4,0
Olabisi Johnson,Colorado State,MWC,11,54,796,14.7,4,0,0,,0,0,MIN,22,wr,16,6,45,31,68.90%,294,9.5,3,17,23,6.5,1.9,18.4,0
Kelvin Harmon,North Carolina State,ACC,12,81,1186,14.6,7,0,0,,0,0,WAS,23,WR,16,8,44,30,68.20%,365,12.2,0,16,30,8.3,1.9,22.8,0
Deebo Samuel,South Carolina,SEC,12,62,882,14.2,11,8,26,3.3,0,1,SFO,23,WR,15,11,81,57,70.40%,802,14.1,3,32,42,9.9,3.8,53.5,2
KeeSean Johnson,Fresno State,MWC,14,95,1340,14.1,8,4,14,3.5,0,0,ARI,23,wr,10,4,42,21,50.00%,187,8.9,1,10,31,4.5,2.1,18.7,1
Preston Williams,Colorado State,MWC,12,96,1345,14,14,4,13,3.3,0,1,MIA,22,wr,8,7,60,32,53.30%,428,13.4,3,24,35,7.1,4,53.5,2
Ventell Bryant,Temple,American,13,51,690,13.5,3,3,12,4,0,0,DAL,23,wr,12,0,1,1,100.00%,15,15,1,1,15,15,0.1,1.3,0
Riley Ridley,Georgia,SEC,14,43,559,13,9,0,0,,0,0,CHI,23,wr,5,0,7,6,85.70%,69,11.5,0,4,32,9.9,1.2,13.8,0
Parris Campbell,Ohio State,Big Ten,14,90,1063,11.8,12,9,24,2.7,0,0,IND,22,wr,7,3,24,18,75.00%,127,7.1,1,6,27,5.3,2.6,18.1,3
Olamide Zaccheaus,Virginia,ACC,13,93,1058,11.4,9,16,83,5.2,0,0,ATL,22,wr,10,0,5,3,60.00%,115,38.3,1,2,93,23,0.3,11.5,0
Jakobi Meyers,North Carolina State,ACC,12,92,1047,11.4,4,3,-9,-3,0,0,NWE,23,wr,15,1,41,26,63.40%,359,13.8,0,17,35,8.8,1.7,23.9,0
Hunter Renfrow,Clemson,ACC,15,49,544,11.1,1,0,0,,0,1,OAK,24,wr,13,4,71,49,69.00%,605,12.3,4,30,65,8.5,3.8,46.5,1
